stop_id,stop_code,stop_name,stop_lat,stop_lon
1800EH30061,MANDAPAG,Grapes Hotel,53.43754000000,-2.07037900000
1800EH30071,MANDAPAJ,Baron Road,53.43811000000,-2.06931100000
1800EH30081,MANDAPAM,Mottram Old Road,53.43922000000,-2.06839500000
1800EH30111,MANDAPAW,Lilly Street,53.44168000000,-2.06848900000
1800EH30121,MANDAPDA,Lilly Street,53.44265000000,-2.06891200000
1800EH30131,MANDAPDG,Hyde Cemetery,53.44387000000,-2.06932100000
1800EH30141,MANDAPDJ,Ring O'Bells,53.44653000000,-2.07248700000
1800EH33161,MANDAPDM,Palm Street,53.48436000000,-2.16833400000
1800EH33181,MANDAPDP,Derwent Street,53.48286000000,-2.16754400000
1800EH33191,MANDAPDT,Edge Lane Metrolink Stop,53.48169447023,-2.16710291630
1800EH34091,MANDAPDW,Bridge Street,53.47616000000,-2.16194300000
1800EH34111,MANDAPGA,Wheler Street,53.47754000000,-2.16508200000
1800EH34121,MANDAPGD,Wheler Street,53.47776911823,-2.16523419685
1800EH34131,MANDAPGJ,Edge Lane Metrolink Stop,53.48023068574,-2.16614786351
1800EH35451,MANDAPGM,Clayton Vale,53.49091000000,-2.16662600000
1800EH35461,MANDAPGP,Chatsworth Road,53.48846000000,-2.16630000000
1800EH35471,MANDAPGT,Chatsworth Road,53.48803000000,-2.16635900000
1800EH35491,MANDAPGW,Holly Street,53.48685000000,-2.16864500000
1800EH35511,MANDAPJA,North Road,53.48681000000,-2.16618800000
1800EH35521,MANDAPJD,North Road,53.48662000000,-2.16593100000
1800EH35531,MANDAPJG,Edge Lane Metrolink Stop,53.48100000000,-2.16487000000
1800EH35541,MANDAPJM,Buxton Lane,53.48053000000,-2.16241200000
1800EH35551,MANDAPJP,Buxton Lane,53.48051000000,-2.16037800000
1800EH35561,MANDAPJT,Cemetery Road Metrolink Stop,53.47995810278,-2.15495124895
1800EH35571,MANDAPJW,Cemetery Road Metrolink Stop,53.48009000000,-2.15513200000
1800EH35601,MANDAPMG,Scott Road,53.47962000000,-2.15106200000
1800EH35611,MANDAPMJ,Tesco,53.47960000000,-2.14890700000
1800EH35621,MANDAPMP,Droylsden Metrolink Stop,53.47961159984,-2.14455312835
1800EH35631,MANDAPMT,Droylsden Metrolink Stop,53.47933000000,-2.14443100000
1800EH35641,MANDAPMW,Williamson Lane,53.47918000000,-2.14245700000
1800EH35651,MANDAPTA,Williamson Lane,53.47927000000,-2.14176400000
1800EH35661,MANDAPTD,Kershaw Lane,53.47888000000,-2.13680600000
1800EH35671,MANDAPTG,Kershaw Lane,53.47858000000,-2.13538800000
